date,close
2017-09-13,0.79855
2017-09-14,0.8005
2017-09-15,0.80021
2017-09-18,0.79534
2017-09-19,0.80106
2017-09-20,0.80315
2017-09-21,0.79274
2017-09-22,0.79614
2017-09-25,0.79371
2017-09-26,0.78865
2017-09-27,0.78492
2017-09-28,0.78559
2017-09-29,0.78345
2017-10-02,0.78246
2017-10-03,0.78353
2017-10-04,0.78657
2017-10-05,0.77946
2017-10-06,0.77723
2017-10-09,0.77526
2017-10-10,0.77775
2017-10-11,0.77884
2017-10-12,0.78202
2017-10-13,0.78907
2017-10-16,0.78497
2017-10-17,0.78461
2017-10-18,0.78462
2017-10-19,0.78761
2017-10-20,0.78167
2017-10-23,0.78062
2017-10-24,0.77759
2017-10-25,0.77035
2017-10-26,0.76595
2017-10-27,0.76785
2017-10-30,0.76883
2017-10-31,0.76567
2017-11-01,0.7676
2017-11-02,0.77131
2017-11-03,0.76494
2017-11-06,0.76918
2017-11-07,0.76455
2017-11-08,0.76768
2017-11-09,0.76805
2017-11-10,0.76618
2017-11-13,0.76223
2017-11-14,0.76316
2017-11-15,0.75889
2017-11-16,0.75875
2017-11-17,0.75651
2017-11-20,0.75499
2017-11-21,0.75778
2017-11-22,0.76165
2017-11-23,0.76253
2017-11-24,0.76163
2017-11-27,0.76022
2017-11-28,0.75954
2017-11-29,0.75711
2017-11-30,0.75665
2017-12-01,0.76135
2017-12-04,0.75981
2017-12-05,0.76075
2017-12-06,0.75643
2017-12-07,0.75116
2017-12-08,0.7509
2017-12-11,0.75265
2017-12-12,0.75576
2017-12-13,0.76368
2017-12-14,0.76666
2017-12-15,0.76452
2017-12-18,0.76624
2017-12-19,0.76635
2017-12-20,0.76667
2017-12-21,0.77016
2017-12-22,0.77131
2017-12-25,0.77165
2017-12-26,0.77276
2017-12-27,0.77696
2017-12-28,0.77935
2017-12-29,0.78075
2018-01-01,0.78055
2018-01-02,0.78297
2018-01-03,0.78357
2018-01-04,0.78635
2018-01-05,0.78626
2018-01-08,0.7842
2018-01-09,0.78237
2018-01-10,0.78424
2018-01-11,0.78917
2018-01-12,0.79163
2018-01-15,0.79655
2018-01-16,0.79605
2018-01-17,0.79707
2018-01-18,0.80001
2018-01-19,0.79918
2018-01-22,0.8017
2018-01-23,0.80002
2018-01-24,0.80616
2018-01-25,0.80246
2018-01-26,0.81099
2018-01-29,0.80945
2018-01-30,0.80828
2018-01-31,0.80555
2018-02-01,0.80398
2018-02-02,0.79247
2018-02-05,0.78782
2018-02-06,0.79058
2018-02-07,0.78224
2018-02-08,0.77802
2018-02-09,0.78115
2018-02-12,0.78623
2018-02-13,0.78597
2018-02-14,0.79255
2018-02-15,0.7945
2018-02-16,0.79107
2018-02-19,0.79135
2018-02-20,0.7883
2018-02-21,0.78041
2018-02-22,0.7846
2018-02-23,0.78434
2018-02-26,0.78556
2018-02-27,0.77891
2018-02-28,0.77617
2018-03-01,0.77548
2018-03-02,0.77631
2018-03-05,0.77658
2018-03-06,0.78283
2018-03-07,0.78236
2018-03-08,0.77868
2018-03-09,0.78469
2018-03-12,0.78727
2018-03-13,0.78599
2018-03-14,0.78776
